,names,scores,logfoldchanges,pvals,pvals_adj,log_pval
618,Dchs2,0.19646458,0.22601065,0.8442465503038521,0.9949125519138148,0.07353070527006007
619,4921539H07Rik,0.19452208,0.30088928,0.845767102064695,0.9949125519138148,0.07274921168100165
620,Cd247,0.19396083,0.43525183,0.8462065503673739,0.9949125519138148,0.07252361717844863
621,Esyt3,0.19293322,0.41024518,0.8470112710784673,0.9949125519138148,0.07211081052570993
622,Lipg,0.19253498,0.34784052,0.8473231671152683,0.9949125519138148,0.07195091915339669
623,Pax7,0.19243117,0.42078856,0.8474044799935394,0.9949125519138148,0.07190924433393157
624,Sntb1,0.1880863,0.052562352,0.8508089973281797,0.9949125519138148,0.07016792606912134
625,Phox2b,0.18255566,0.3806281,0.8551466731564155,0.9949125519138148,0.06795938950648674
626,Dbh,0.18245752,0.43878746,0.855223683152172,0.9949125519138148,0.06792028099866244
627,Cpa6,0.1747946,0.14982805,0.8612410278787044,0.9949125519138148,0.06487528939557005
628,Ppp1r17,0.17320573,0.31670263,0.8624897179011594,0.9949125519138148,0.06424607362907211
629,Gabrq,0.17194372,0.3698908,0.8634817759619056,0.9949125519138148,0.06374682391320081
630,Serpinb7,0.17178881,0.41481614,0.8636035665931572,0.9949125519138148,0.06368557274293785
631,Npffr2,0.17134354,0.7736798,0.8639536529894244,0.9949125519138148,0.06350955473271387
632,Slc6a3,0.17108886,0.35244095,0.8641538965648552,0.9949125519138148,0.06340890743184671
633,Sema5b,0.16265786,-0.037070457,0.8707878285982001,0.9949125519138148,0.06008764992214764
634,Ror1,0.16219637,0.2595019,0.8711512227832499,0.9949125519138148,0.05990644944732379
635,Npsr1,0.16099437,0.27821323,0.8720978356671624,0.9949125519138148,0.059434791320911694
636,Grem1,0.16091003,0.42648855,0.8721642715361785,0.9949125519138148,0.05940170829834422
637,Meox2,0.16056369,0.4072668,0.8724370513295405,0.9949125519138148,0.05926589874868431
638,Hoxb5,0.16025224,0.9900775,0.8726823744504053,0.9949125519138148,0.05914379538222952
